Krokus 	 Screaming in the Night 	
Judas Priest 	 Rocka Rolla (Live) 	
Judas Priest 	 Run of the Mill (Live) 	
Judas Priest 	 Victim of Changes (Live) 	
Judas Priest 	 The Ripper (Live) 	
Judas Priest 	 Epitaph (Live) 	
Judas Priest 	 Sinner (Live) 	
Judas Priest 	 Diamonds & Rust (Live) 	
Judas Priest 	 Starbreaker (Live) 	
Judas Priest 	 Exciter (Live) 	
Judas Priest 	 Beyond the Realms of Death (Live) 	
Judas Priest 	 Saints in Hell (Live) 	
Krokus 	 Heatstrokes 	
Black Sabbath 	 Heaven and Hell 	
Alice Cooper 	 Under My Wheels 	
Blue Cheer 	 Summertime Blues (Live) 	
Blue Öyster Cult 	 Godzilla 	
Deep Purple 	 Perfect Strangers 	
Flower Travellin' Band 	 Little Games 	
Hawkwind 	 Master of the Universe (Live) 	
Jimi Hendrix 	 Hey Joe 	
King Crimson 	 Larks' Tongues in Aspic 	
Led Zeppelin 	 Black Dog 	
Rush 	 The Spirit of the Radio (Live) 	
The Stooges 	 Gimme Danger 	
Thin Lizzy 	 Emerald 	
MC5 	 Starship 	
Nazareth 	 Hair of the Dog 	
Lucifer's Friend 	 Free Me (Live) 	
Atomic Rooster 	 Devil’s Answer (Live) 	
Diamond Head 	 Shoot Out the Lights 	
Saxon 	 Denim and Leather 	
UFO 	 Only You Can Rock Me 	
Budgie 	 Crash Course in Brain Surgery 	
Captain Beyond 	 Darlings of the Sea 	
Trapeze 	 Medusa 	
Angel Witch 	 Confused 	
Judas Priest 	 Rocka Rolla (Remix) 	
Judas Priest 	 Run of the Mill (Remix) 	
Judas Priest 	 Victim of Changes (Remix) 	
Judas Priest 	 The Ripper (Remix) 	
Judas Priest 	 Epitaph (Remix) 	
Judas Priest 	 Sinner (Remix) 	
Judas Priest 	 Diamonds & Rust (Remix) 	
Judas Priest 	 Starbreaker (Remix) 	
Judas Priest 	 Exciter (Remix) 	
Judas Priest 	 Beyond the Realms of Death (Remix) 	
Judas Priest 	 Saints in Hell (Remix) 	
Krokus 	 American Woman 	
Black Sabbath 	 Fairies Wear Boots 	
Alice Cooper 	 Billion Dollar Babies 	
Blue Cheer 	 Parchment Farm 	
Blue Öyster Cult 	 Veteran of the Psychic Wars 	
Deep Purple 	 Smoke on the Water (Live) 	
Flower Travellin' Band 	 Satori Part II 	
Hawkwind 	 Silver Machine (Live) 	
Jimi Hendrix 	 All Along the Watchtower 	
King Crimson 	 In the Court of the Crimson King 	
Led Zeppelin 	 Immigrant Song 	
Rush 	 Spirit of Radio 	
The Stooges 	 Real Cool Time 	
Thin Lizzy 	 Waiting for an Alibi 	
MC5 	 Shakin' Street 	
Nazareth 	 Hair of the Dog (Live) 	
Lucifer's Friend 	 Ride the Sky (Live) 	
Atomic Rooster 	 Tomorrow Night (Live) 	
Diamond Head 	 Am I Evil? (Live) 	
Saxon 	 20,000 Ft (Live) 	
UFO 	 Lights Out (Live) 	
Budgie 	 Zoom Club (Live) 	
Captain Beyond 	 Starglow (Live) 	
Trapeze 	 Coats of Steel (Live) 	
Angel Witch 	 Satan’s Claw (Live) 	
Judas Priest 	 Rocka Rolla (Extended) 	
Judas Priest 	 Run of the Mill (Extended) 	
Judas Priest 	 Victim of Changes (Extended) 	
Judas Priest 	 The Ripper (Extended) 	
Judas Priest 	 Epitaph (Extended) 	
Judas Priest 	 Sinner (Extended) 	
Judas Priest 	 Diamonds & Rust (Extended) 	
Judas Priest 	 Starbreaker (Extended) 	
Judas Priest 	 Exciter (Extended) 	
Judas Priest 	 Beyond the Realms of Death (Extended) 	
Judas Priest 	 Saints in Hell (Extended) 	
Krokus 	 Fire 	
Black Sabbath 	 Sabbath Bloody Sabbath 	
Alice Cooper 	 Muscle of Love 	
Blue Cheer 	 Ride with Me 	
Blue Öyster Cult 	 Astronomy 	
Deep Purple 	 Lazy 	
Flower Travellin' Band 	 Make Up Part III 	
Hawkwind 	 Space Is Deep 	
Jimi Hendrix 	 Little Wing 	
King Crimson 	 Starless 	
Led Zeppelin 	 Ramble On 	
Rush 	2112	
The Stooges 	 No Fun 	
Thin Lizzy 	 Fighting 	
MC5 	 Teenage Lust 	
Nazareth 	 This Flight Tonight (Live) 	
Lucifer's Friend 	 Free Me (Extended) 	
Atomic Rooster 	 In Hearing Of (Live) 	
Diamond Head 	 Helpless (Live) 	
Saxon 	 Strong Arm of the Law (Live) 	
UFO 	 Doctor Doctor (Live) 	
Budgie 	 Breadfan (Live) 	
Captain Beyond 	 Armworth (Live) 	
Trapeze 	 Your Love Is Alright (Live) 	
Angel Witch 	 Angel Witch (Live) 	
Judas Priest 	 Rocka Rolla (Mega Mix) 	
Judas Priest 	 Run of the Mill (Mega Mix) 	
Judas Priest 	 Victim of Changes (Mega Mix) 	
Judas Priest 	 The Ripper (Mega Mix) 	
Judas Priest 	 Epitaph (Mega Mix) 	
Judas Priest 	 Sinner (Mega Mix) 	
Krokus 	 Headhunter 	
Black Sabbath 	 Paranoid 	
Alice Cooper 	 No More Mr. Nice Guy 	
Blue Cheer 	 Doctor Please 	
Blue Öyster Cult 	 Burnin' for You 	
Deep Purple 	 Highway Star 	
Flower Travellin' Band 	 Make Up Part IV 	
Hawkwind 	 Master of the Universe (Remix) 	
Jimi Hendrix 	 Voodoo Child (Slight Return) (Live) 	
King Crimson 	 Epitaph (Live) 	
Led Zeppelin 	 Whole Lotta Love (Live) 	
Rush 	 Limelight (Live) 	
The Stooges 	 Search and Destroy (Extended) 	
Thin Lizzy 	 The Boys Are Back in Town (Live) 	
MC5 	 Kick Out the Jams (Live) 	
Nazareth 	 Hair of the Dog (Extended) 	
Lucifer's Friend 	 Ride the Sky (Extended) 	
Atomic Rooster 	 Devil’s Answer (Extended) 	
Diamond Head 	 Am I Evil? (Extended) 	
Saxon 	 20,000 Ft (Extended) 	
UFO 	 Only You Can Rock Me (Extended) 	
Budgie 	 Crash Course in Brain Surgery (Extended) 	
Captain Beyond 	 Darlings of the Sea (Extended) 	
Trapeze 	 Medusa (Extended) 	
Angel Witch 	 Confused (Extended) 	
Krokus 	 Long Stick Goes Boom (Extended) 	
Black Sabbath 	 Children of the Grave (Extended) 	
Alice Cooper 	 Elected (Extended) 	
Blue Cheer 	 Love Like a Man (Extended) 	
Blue Öyster Cult 	 Don't Fear the Reaper (Extended) 	
Deep Purple 	 Smoke on the Water (Extended) 	
Flower Travellin' Band 	 Satori Part V 	
Hawkwind 	 Silver Machine (Extended) 	
Jimi Hendrix 	 All Along the Watchtower (Extended) 	
King Crimson 	 In the Court of the Crimson King (Remix) 	
Led Zeppelin 	 Immigrant Song (Extended) 	
Rush 	 Spirit of Radio (Extended) 	
The Stooges 	 Real Cool Time (Remix) 	
Thin Lizzy 	 Waiting for an Alibi (Remix) 	
MC5 	 Shakin' Street (Remix) 	
Nazareth 	 This Flight Tonight (Extended) 	
Lucifer's Friend 	 Free Me (Mega Mix) 	
Atomic Rooster 	 Tomorrow Night (Extended) 	
Diamond Head 	 Shoot Out the Lights (Extended) 	
Saxon 	 Denim and Leather (Extended) 	
UFO 	 Lights Out (Extended) 	
Budgie 	 Zoom Club (Extended) 	
Captain Beyond 	 Starglow (Extended) 	
Trapeze 	 Coats of Steel (Extended) 	
Angel Witch 	 Satan’s Claw (Extended) 	
Krokus 	 Bedside Radio (Live) 	
Black Sabbath 	 War Pigs (Live) 	
Alice Cooper 	 Hello Hooray (Live) 	
Blue Cheer 	 Summertime Blues (Studio Extended) 	
Blue Öyster Cult 	 Dominance and Submission (Live) 	
Deep Purple 	 Knocking at Your Back Door (Live) 	
Flower Travellin' Band 	 Samurai (Live) 	
Hawkwind 	 Brainstorm (Live) 	
Jimi Hendrix 	 The Wind Cries Mary (Live) 	
King Crimson 	 The Night Watch (Live) 	
Led Zeppelin 	 Good Times Bad Times (Live) 	
Rush 	 The Trees (Live) 	
The Stooges 	 I Need Somebody (Live) 	
Thin Lizzy 	 Black Rose (Live) 	
MC5 	 Looking at You (Live) 	
Nazareth 	 Love Hurts (Live) 	
Lucifer's Friend 	 Highway Lady (Live) 	
Atomic Rooster 	 Breakthrough (Live) 	
Diamond Head 	 Helpless (Extended) 	
Saxon 	 Strong Arm of the Law (Extended) 	
UFO 	 Doctor Doctor (Extended) 	
Budgie 	 Breadfan (Extended) 	
Captain Beyond 	 Armworth (Extended) 	
Trapeze 	 Your Love Is Alright (Extended) 	
Angel Witch 	 Angel Witch (Extended) 	
Krokus 	 Heatstrokes (Live) 	
Black Sabbath 	 Heaven and Hell (Live) 	
Alice Cooper 	 Under My Wheels (Live) 	
Blue Cheer 	 Summertime Blues (Remix Extended) 	
Blue Öyster Cult 	 Burnin' for You (Mega Mix) 	
Deep Purple 	 Space Truckin' (Live) 	
Flower Travellin' Band 	 Piece of My Heart (Live) 	
Hawkwind 	 Sonic Attack (Extended) 	
Jimi Hendrix 	 Crosstown Traffic (Live) 	
King Crimson 	 Red (Live Extended) 	
Led Zeppelin 	 Dazed and Confused (Extended) 	
Rush 	 Red Barchetta (Live) 	
The Stooges 	 Loose (Live) 	
Thin Lizzy 	 Jailbreak (Extended) 	
MC5 	 Motor City Is Burning (Live) 	
Nazareth 	 Beggars Day (Live) 	
Lucifer's Friend 	 Rock Heavies (Live) 	
Atomic Rooster 	 Death Walks Behind You (Live) 	
Diamond Head 	 It’s Electric (Extended) 	
Saxon 	 Wheels of Steel (Extended) 	
UFO 	 Rock Bottom (Extended) 	
Budgie 	 In for the Kill (Extended) 	
Captain Beyond 	 Thru the Eyes of Ruby (Extended) 	
Trapeze 	 Black Cloud (Extended) 	
Angel Witch 	 Confused (Extended Remix) 	
Krokus 	 American Woman (Live Extended) 	
Black Sabbath 	 Black Sabbath (Live Extended) 	
Alice Cooper 	 Killer (Live Extended) 	
Blue Cheer 	 Summertime Blues (Extended Remix Live) 	
Blue Öyster Cult 	 Godzilla (Live Extended) 	
Deep Purple 	 Hush (Extended Live) 	
Flower Travellin' Band 	 Lullaby (Extended Live) 	
Hawkwind 	 Wind of Change (Extended Live) 	
Jimi Hendrix 	 Castles Made of Sand (Live Extended) 	
King Crimson 	 One More Red Nightmare (Live Extended) 	
Led Zeppelin 	 Misty Mountain Hop (Live Extended) 	
Rush 	 By	 https://youtu.be/xyz912
The Stooges 	 Shake Appeal (Live Extended) 	
Thin Lizzy 	 Don’t Believe a Word (Live Extended) 	
MC5 	 Kick Out the Jams (Extended Remix Live) 	
Nazareth 	 Hair of the Dog (Live Extended) 	
Lucifer's Friend 	 Ride the Sky (Extended Remix) 	
Atomic Rooster 	 Devil’s Answer (Extended Live) 	
Diamond Head 	 Am I Evil? (Live Extended) 	
Saxon 	 20,000 Ft (Live Extended) 	
UFO 	 Only You Can Rock Me (Live Extended) 	
Budgie 	 Crash Course in Brain Surgery (Live Extended) 	
Captain Beyond 	 Darlings of the Sea (Live Extended) 	
Trapeze 	 Medusa (Live Extended) 	
Angel Witch 	 Satan’s Claw (Live Extended) 	
Krokus 	 Fire (Mega Mix Live) 	
Black Sabbath 	 Sabbath Bloody Sabbath (Mega Mix Live) 	
Alice Cooper 	 Billion Dollar Babies (Mega Mix Live) 	
Blue Cheer 	 Out of Focus (Mega Mix Live) 	
Blue Öyster Cult 	 Flaming Telepaths (Mega Mix Live) 	
Deep Purple 	 Lazy (Mega Mix Live) 	
Flower Travellin' Band 	 Satori Part VIII 	
Hawkwind 	 Master of the Universe (Ultimate Mix) 	
Jimi Hendrix 	 Freedom (Ultimate Mix) 	
King Crimson 	 Lament (Ultimate Mix) 	
Led Zeppelin 	 Since I’ve Been Loving You (Ultimate Mix) 	
Rush 	 Xanadu (Ultimate Mix) 	
The Stooges 	 Fun House (Ultimate Mix) 	
Thin Lizzy 	 Emerald (Ultimate Mix) 	
MC5 	 Ramblin' Rose (Ultimate Mix) 	
Nazareth 	 This Flight Tonight (Ultimate Mix) 	
Lucifer's Friend 	 Free Me (Ultimate Mix) 	
Atomic Rooster 	 Tomorrow Night (Ultimate Mix) 	
Diamond Head 	 Shoot Out the Lights (Ultimate Mix) 	
Saxon 	 Denim and Leather (Ultimate Mix) 	
UFO 	 Lights Out (Ultimate Mix) 	
Budgie 	 Zoom Club (Ultimate Mix) 	
Captain Beyond 	 Starglow (Ultimate Mix) 	
Trapeze 	 Coats of Steel (Ultimate Mix) 	
Angel Witch 	 Angel Witch (Ultimate Mix) 	
Krokus 	 Bedside Radio (Ultimate Mix) 	
Black Sabbath 	 War Pigs (Ultimate Mix) 	
Alice Cooper 	 Hello Hooray (Ultimate Mix) 	
Blue Cheer 	 Summertime Blues (Ultimate Mix) 	
Blue Öyster Cult 	 Dominance and Submission (Ultimate Mix) 	
Deep Purple 	 Knocking at Your Back Door (Ultimate Mix) 	
Flower Travellin' Band 	 Samurai (Ultimate Mix) 	
Hawkwind 	 Brainstorm (Ultimate Mix) 	
Jimi Hendrix 	 The Wind Cries Mary (Ultimate Mix) 	
King Crimson 	 The Night Watch (Ultimate Mix) 	
Led Zeppelin 	 Good Times Bad Times (Ultimate Mix) 	
Rush 	 The Trees (Ultimate Mix) 	
The Stooges 	 I Need Somebody (Ultimate Mix) 	
Thin Lizzy 	 Black Rose (Ultimate Mix) 	
MC5 	 Looking at You (Ultimate Mix) 	
Nazareth 	 Love Hurts (Ultimate Mix) 	
Lucifer's Friend 	 Highway Lady (Ultimate Mix) 	
Atomic Rooster 	 Breakthrough (Ultimate Mix) 	
Diamond Head 	 Helpless (Ultimate Mix) 	
Saxon 	 Strong Arm of the Law (Ultimate Mix) 	
UFO 	 Doctor Doctor (Ultimate Mix) 	
Budgie 	 In for the Kill (Ultimate Mix) 	
Captain Beyond 	 Armworth (Ultimate Mix) 	
Trapeze 	 Your Love Is Alright (Ultimate Mix) 	
Angel Witch 	 Confused (Ultimate Mix) 	
Krokus 	 Heatstrokes (Ultimate Mix) 	
Black Sabbath 	 Heaven and Hell (Ultimate Mix) 	
Alice Cooper 	 Under My Wheels (Ultimate Mix) 	
Blue Cheer 	 Summertime Blues (Remix Ultimate Mix) 	
Blue Öyster Cult 	 Burnin' for You (Ultimate Mix) 	
Deep Purple 	 Space Truckin' (Ultimate Mix) 	
Flower Travellin' Band 	 Piece of My Heart (Ultimate Mix) 	
Hawkwind 	 Sonic Attack (Ultimate Mix Extended) 	
Jimi Hendrix 	 Crosstown Traffic (Ultimate Mix) 	
King Crimson 	 Red (Ultimate Mix Extended) 	
Led Zeppelin 	 Dazed and Confused (Ultimate Mix Extended) 	
Rush 	 Red Barchetta (Ultimate Mix Extended) 	
The Stooges 	 Loose (Ultimate Mix Extended) 	
Thin Lizzy 	 Jailbreak (Ultimate Mix Extended) 	
MC5 	 Motor City Is Burning (Ultimate Mix Extended) 	
Nazareth 	 Beggars Day (Ultimate Mix Extended) 	
Lucifer's Friend 	 Rock Heavies (Ultimate Mix Extended) 	
Atomic Rooster 	 Death Walks Behind You (Ultimate Mix Extended) 	
Diamond Head 	 It’s Electric (Ultimate Mix Extended) 	
Saxon 	 Wheels of Steel (Ultimate Mix Extended) 	
UFO 	 Rock Bottom (Ultimate Mix Extended) 	
Budgie 	 In for the Kill (Mega Mix Extended) 	
Captain Beyond 	 Thru the Eyes of Ruby (Ultimate Mix Extended) 	
Trapeze 	 Black Cloud (Ultimate Mix Extended) 	
Angel Witch 	 Confused (Mega Mix Extended) 	
